"","id_gbs","trait","dap","y_hat"
"121","PI329506","drymass","NA",7.75242687766653
"122","NSL55643","drymass","NA",7.79221624796571
"123","PI152856","drymass","NA",7.84979134565729
"124","PI452529","drymass","NA",7.86306007133246
"125","PI267653","drymass","NA",7.86502301300074
"126","NSL52312","drymass","NA",7.86949116711884
"127","PI276823","drymass","NA",7.88059148418045
"128","PI452967","drymass","NA",7.89632901568695
"129","PI647745","drymass","NA",7.90088839192806
"130","NSL54577","drymass","NA",7.90513382534151
"131","NSL55725","drymass","NA",7.92579454712646
"132","PI329614","drymass","NA",7.93024946992237
"133","NSL54114","drymass","NA",7.97548848668643
"134","PI291081","drymass","NA",8.02000665781681
"135","NSL365759","drymass","NA",8.05875638427918
"136","PI452511","drymass","NA",8.07192529537818
"137","PI330969","drymass","NA",8.12341675170329
"138","PI329720","drymass","NA",8.14734674706941
"139","PI513901","drymass","NA",8.15629940399092
"140","PI562980","drymass","NA",8.16529882177928
"141","NSL54224","drymass","NA",8.16710901840923
"142","PI452927","drymass","NA",8.16917700109961
"143","PI329843","drymass","NA",8.17106920762407
"144","PI452616","drymass","NA",8.1775607041332
"145","PI452519","drymass","NA",8.19269359951426
"146","PI329554","drymass","NA",8.19788946108669
"147","PI453914","drymass","NA",8.21348087607043
"148","PI563009","drymass","NA",8.22136543219384
"149","PI248318","drymass","NA",8.2227851241628
"150","PI452982","drymass","NA",8.23119656396956
"151","PI513913","drymass","NA",8.24179515658673
"152","PI647716","drymass","NA",8.25316064542333
"153","PI330030B","drymass","NA",8.26129434735398
"154","PI330049","drymass","NA",8.29672708430847
"155","PI329679","drymass","NA",8.29935499264374
"156","NSL55743","drymass","NA",8.31598429180296
"157","PI329501","drymass","NA",8.32250582951943
"158","PI147933","drymass","NA",8.32422282915051
"159","PI508366","drymass","NA",8.33315993361847
"160","PI452628","drymass","NA",8.33452730626604
"161","PI291239","drymass","NA",8.33525513555899
"162","NSL50989","drymass","NA",8.33573948803357
"163","PI329958","drymass","NA",8.33646589930091
"164","PI506030B","drymass","NA",8.33809900697484
"165","PI153852","drymass","NA",8.34793116230703
"166","PI452947","drymass","NA",8.37389037981558
"167","PI148084","drymass","NA",8.3772197514752
"168","PI455621","drymass","NA",8.3930411326301
"169","PI282871","drymass","NA",8.39574740285878
"170","NSL52176","drymass","NA",8.41260942891865
"171","PI585966","drymass","NA",8.41532131290608
"172","PI329845","drymass","NA",8.42510734917447
"173","PI453127","drymass","NA",8.44356826507054
"174","PI454078","drymass","NA",8.46188441768412
"175","PI156217","drymass","NA",8.48395084887753
"176","PI453370","drymass","NA",8.49934232989062
"177","PI562715","drymass","NA",8.50726531182561
"178","PI568755","drymass","NA",8.51804622982221
"179","PI455257","drymass","NA",8.5217911690129
"180","PI276856","drymass","NA",8.5330494228681
"181","PI276788","drymass","NA",8.54124948910263
"182","PI276820","drymass","NA",8.54250532276761
"183","PI452808","drymass","NA",8.54366168899754
"184","NSL55712","drymass","NA",8.55533604455716
"185","PI452580","drymass","NA",8.56063285674974
"186","PI453234","drymass","NA",8.56131735373413
"187","NSL54221","drymass","NA",8.56249535279664
"188","PI329493","drymass","NA",8.56943223446333
"189","PI329698","drymass","NA",8.57575334115309
"190","PI521069","drymass","NA",8.59393891945858
"191","PI453463","drymass","NA",8.62740868100332
"192","PI520982","drymass","NA",8.62801981578938
"193","PI453882","drymass","NA",8.64045994497797
"194","NSL54318","drymass","NA",8.64264688151572
"195","PI452669","drymass","NA",8.65132347439488
"196","PI329665","drymass","NA",8.66569703278212
"197","PI297117","drymass","NA",8.68825240090997
"198","PI660566","drymass","NA",8.6904446561332
"199","PI452980","drymass","NA",8.70424676123906
"200","PI330897","drymass","NA",8.72227906261757
"201","PI329605","drymass","NA",8.7249402637537
"202","PI156034","drymass","NA",8.72623068446505
"203","PI329615","drymass","NA",8.76476565985986
"204","NSL50603","drymass","NA",8.77217502007043
"205","PI452891","drymass","NA",8.77799521792699
"206","NSL50579","drymass","NA",8.78003654341316
"207","PI452931","drymass","NA",8.78152376443086
"208","PI329480","drymass","NA",8.79601798632164
"209","PI453145","drymass","NA",8.80152555128879
"210","NSL55460","drymass","NA",8.80613875237519
"211","PI452729","drymass","NA",8.83235817414499
"212","PI651187","drymass","NA",8.83580772066121
"213","NSL54818","drymass","NA",8.84828351663983
"214","PI521048","drymass","NA",8.85148953882473
"215","PI525855","drymass","NA",8.85299800971038
"216","PI329841","drymass","NA",8.85876120383583
"217","PI570109","drymass","NA",8.86737102682907
"218","PI506073","drymass","NA",8.90382272028121
"219","PI329518","drymass","NA",8.91001329452152
"220","PI453690","drymass","NA",8.9175399254811
"221","NSL51016","drymass","NA",8.93985586369317
"222","PI585540","drymass","NA",8.9700600299086
"223","PI452930","drymass","NA",8.99523719124386
"224","PI452753","drymass","NA",9.00803493925482
"225","NSL50601","drymass","NA",9.03105727229347
"226","NSL51949","drymass","NA",9.04765545820394
"227","PI452525","drymass","NA",9.04842564518822
"228","PI330165","drymass","NA",9.05061506578508
"229","PI276792","drymass","NA",9.06645967709022
"230","PI454019","drymass","NA",9.06826261422711
"231","PI453346","drymass","NA",9.10798260365553
"232","NSL55693","drymass","NA",9.10884773063069
"233","PI452850","drymass","NA",9.11927990417373
"234","PI329333","drymass","NA",9.12667760098186
"235","PI562997","drymass","NA",9.12816341327845
"236","PI660620","drymass","NA",9.13649004763231
