"","45","60","75","90","105"
"60",0.820962947398246,NA,NA,NA,NA
"75",0.74115344667436,0.908695008516307,NA,NA,NA
"90",0.737938061620803,0.897247024164288,0.919552176663207,NA,NA
"105",0.721775025556454,0.881256021596911,0.907210094496241,0.927091337706035,NA
"120",0.642931519653686,0.819795420782625,0.859128946778464,0.881222949838957,0.905684019061766
