"","45","60","75","90","105"
"60",0.809945465069725,NA,NA,NA,NA
"75",0.732510357565921,0.909132284077789,NA,NA,NA
"90",0.729836127128299,0.896645760714211,0.919278806758665,NA,NA
"105",0.712631299175877,0.879365539998542,0.903759470153476,0.924131096892401,NA
"120",0.633704168394478,0.817267901573363,0.856234245100948,0.879095186397228,0.903589286643126
