"","x"
"dm",0.516207861645616
"h30",0.575341590315045
"h45",0.624684851193359
"h60",0.743705028038676
"h75",0.72172136242257
"h90",0.714303203913259
"h105",0.705513453150035
"h120",0.669644795333554
