accession_prefix,accession_number,observation_value,descriptor_name,method_name,,
"PI","585408","02","RACE","SORGHUM.STC1997",
"PI","585409","02","RACE","SORGHUM.STC1997",
"PI","585410","02","RACE","SORGHUM.STC1997",
"PI","585411","02","RACE","SORGHUM.STC1997",
"PI","585412","02","RACE","SORGHUM.STC1997",
"PI","585413","02","RACE","SORGHUM.STC1997",
"PI","585414","02","RACE","SORGHUM.STC1997",
"PI","585416","02","RACE","SORGHUM.STC1997",
"PI","585417","02","RACE","SORGHUM.STC1997",
"PI","585418","02","RACE","SORGHUM.STC1997",
"PI","585421","04","RACE","SORGHUM.STC1997",
"PI","585422","15","RACE","SORGHUM.STC1997",
"PI","585423","02","RACE","SORGHUM.STC1997",
"PI","585424","15","RACE","SORGHUM.STC1997",
"PI","585425","04","RACE","SORGHUM.STC1997",
"PI","585426","90","RACE","SORGHUM.STC1997",
"PI","585429","04","RACE","SORGHUM.STC1997",
"PI","585430","10","RACE","SORGHUM.STC1997",
"PI","585431","14","RACE","SORGHUM.STC1997",
"PI","585432","11","RACE","SORGHUM.STC1997",
"PI","585433","11","RACE","SORGHUM.STC1997",
"PI","585434","10","RACE","SORGHUM.STC1997",
"PI","585435","10","RACE","SORGHUM.STC1997",
"PI","585436","10","RACE","SORGHUM.STC1997",
"PI","585437","03","RACE","SORGHUM.STC1997",
"PI","585438","03","RACE","SORGHUM.STC1997",
"PI","585439","10","RACE","SORGHUM.STC1997",
"PI","585440","10","RACE","SORGHUM.STC1997",
"PI","585441","10","RACE","SORGHUM.STC1997",
"PI","585443","16","RACE","SORGHUM.STC1997",
"PI","585446","10","RACE","SORGHUM.STC1997",
"PI","585447","03","RACE","SORGHUM.STC1997",
"PI","585448","02","RACE","SORGHUM.STC1997",
"PI","585450","02","RACE","SORGHUM.STC1997",
"PI","585451","02","RACE","SORGHUM.STC1997",
"PI","585452","02","RACE","SORGHUM.STC1997",
"PI","585453","10","RACE","SORGHUM.STC1997",
"PI","585454","02","RACE","SORGHUM.STC1997",
"PI","585455","02","RACE","SORGHUM.STC1997",
"PI","585456","02","RACE","SORGHUM.STC1997",
"PI","585457","10","RACE","SORGHUM.STC1997",
"PI","585458","10","RACE","SORGHUM.STC1997",
"PI","585459","02","RACE","SORGHUM.STC1997",
"PI","585460","02","RACE","SORGHUM.STC1997",
"PI","585461","02","RACE","SORGHUM.STC1997",
"PI","585462","02","RACE","SORGHUM.STC1997",
"PI","585463","02","RACE","SORGHUM.STC1997",
"PI","585464","02","RACE","SORGHUM.STC1997",
"PI","585465","10","RACE","SORGHUM.STC1997",
"PI","585466","10","RACE","SORGHUM.STC1997",
"PI","585467","02","RACE","SORGHUM.STC1997",
"PI","585468","02","RACE","SORGHUM.STC1997",
"PI","585469","02","RACE","SORGHUM.STC1997",
"PI","585470","02","RACE","SORGHUM.STC1997",
"PI","585471","02","RACE","SORGHUM.STC1997",
"PI","585472","02","RACE","SORGHUM.STC1997",
"PI","585473","10","RACE","SORGHUM.STC1997",
"PI","585474","10","RACE","SORGHUM.STC1997",
"PI","585475","10","RACE","SORGHUM.STC1997",
"PI","585476","03","RACE","SORGHUM.STC1997",
"PI","585477","02","RACE","SORGHUM.STC1997",
"PI","585478","03","RACE","SORGHUM.STC1997",
"PI","585479","10","RACE","SORGHUM.STC1997",
"PI","585480","15","RACE","SORGHUM.STC1997",
"PI","585481","13","RACE","SORGHUM.STC1997",
"PI","585482","04","RACE","SORGHUM.STC1997",
"PI","585483","15","RACE","SORGHUM.STC1997",
"PI","585485","15","RACE","SORGHUM.STC1997",
"PI","585486","15","RACE","SORGHUM.STC1997",
"PI","585487","15","RACE","SORGHUM.STC1997",
"PI","585488","15","RACE","SORGHUM.STC1997",
"PI","585489","15","RACE","SORGHUM.STC1997",
"PI","585490","15","RACE","SORGHUM.STC1997",
"PI","585491","15","RACE","SORGHUM.STC1997",
"PI","585492","05","RACE","SORGHUM.STC1997",
"PI","585493","09","RACE","SORGHUM.STC1997",
"PI","585495","05","RACE","SORGHUM.STC1997",
"PI","585496","15","RACE","SORGHUM.STC1997",
"PI","585497","05","RACE","SORGHUM.STC1997",
"PI","585498","10","RACE","SORGHUM.STC1997",
"PI","585499","09","RACE","SORGHUM.STC1997",
"PI","585500","09","RACE","SORGHUM.STC1997",
"PI","585501","09","RACE","SORGHUM.STC1997",
