ID,Batch,Country,Country_group,Race,Type,Dup,Depth
PI576399,mo,Sudan,East Africa,NA,Sweet,0,20.53
PI329605,mo,Ethiopia,Ethiopia,NA,Cellulosic,0,20.57
PI155885,mo,Tanzania,East Africa,NA,Cellulosic,0,20.57
PI535795,mo,NA,NA,NA,Sweet,0,20.60
PI329333,mo,Ethiopia,Ethiopia,NA,Cellulosic,0,20.83
PI329326,mo,Ethiopia,Ethiopia,NA,Cellulosic,0,20.86
PI155149,mo,Yemen,NA,NA,Sweet,0,20.87
PI145633,mo,South Africa,South Africa,NA,Cellulosic,0,20.94
PI564163,mo,United States,America,NA,GRAIN,0,21.26
PI641834,mo,NA,NA,NA,Sweet,0,21.30
PI329511,mo,Ethiopia,Ethiopia,NA,Sweet,0,21.57
PI196583,mo,NA,NA,NA,Sweet,0,21.67
PI535794,mo,NA,NA,NA,GRAIN,0,22.01
PI593916,mo,NA,NA,NA,GRAIN,0,22.05
PI533998,mo,NA,NA,NA,GRAIN,0,22.38
PI329440,mo,Ethiopia,Ethiopia,NA,Sweet,0,22.70
PI146890,mo,Zaire,NA,NA,Sweet,0,23.47
PI251672,mo,Former Serbia and Montenegro,NA,NA,Sweet,0,24.03
PI651493,mo,NA,NA,NA,Sweet,0,24.45
PI273969,mo,Ethiopia,Ethiopia,NA,Sweet,0,24.49
PI535796,mo,NA,NA,NA,Sweet,0,25.14
PI535785,mo,NA,NA,NA,Sweet,0,25.87
PI656065,mo,NA,NA,NA,NA,0,26.26
PI655981,mo,Mali,West Africa,NA,Cellulosic,0,26.33
PI619838,mo,Uganda,East Africa,NA,Cellulosic,0,27.38
PI511355,mo,NA,NA,NA,Sweet,0,27.45
PI152967,mo,Sudan,East Africa,NA,Sweet,0,30.11
PI535792,mo,NA,NA,NA,GRAIN,0,30.71
PI533902,mo,Ethiopia,Ethiopia,NA,GRAIN,9,10.00
PI533902_dup,mo,NA,NA,NA,NA,9,23.39
PI534047,mo,NA,NA,NA,NA,10,16.00
PI534047_dup,mo,NA,NA,NA,NA,10,17.30
PI561072,mo,NA,NA,NA,NA,11,9.00
PI561072_dup,mo,NA,NA,NA,NA,11,21.16
PI653616_dup,mo,NA,NA,NA,Sweet,12,8.28
PI653616,mo,NA,NA,NA,Sweet,12,13.00
PI656056,mo,NA,NA,NA,Cellulosic,13,12.00
PI656056_dup,mo,NA,NA,NA,NA,13,17.24
rio_mockler,mo,NA,NA,NA,Sweet,14,14.55
rio_mockler_dup,mo,NA,NA,NA,Sweet,14,14.90
PI609612,P4,Mali,West Africa,PCA outier,NA,0,21.34
PI522160,P4,Gambia,West Africa,PCA outlier,NA,0,17.68
Greenleaf,M,USA,America,Weedy,NA,0,17.56
PI330272,M,Ethiopia,Ethiopia,Weedy,NA,0,18.75
Kilo_IBC_E382,M,Ethiopia,Ethiopia,Weedy,NA,0,19.82
Zengada_IBC_E308,M,Ethiopia,Ethiopia,Weedy,NA,0,21.28
PI226096,M,Kenya,East Africa,Weedy,NA,0,32.06
AusTRCF_317961,M,Australia,NA,Wild,NA,0,17.26
PI300119,M,South Africa,South Africa,Wild,NA,0,42.96
