,BN,PBN,DBN
DB,0.02,0.009,
PH-30,0.021,0.021,0.022
PH-45,0.017,0.017,0.017
PH-60,0.014,0.013,0.016
PH-75,0.015,0.015,0.014
PH-90,0.016,0.016,0.014
PH-105,0.016,0.016,0.013
PH-120,0.018,0.018,0.014
