"","trait","n_env","n_plot","h2","se"
"1","DM",2.31007404083464,2.32199383467555,0.4777,0.0292
"2","PH_30",3.91001124859393,3.93808440661683,0.6761,0.0182
"3","PH_45",3.91147786946737,3.93957216723445,0.717,0.0163
"4","PH_60",3.91441441441441,3.94256256913911,0.9061,0.0054
"5","PH_75",3.35413316178836,3.37444450908603,0.9319,0.0039
"6","PH_90",3.88379888268156,3.9115067537396,0.9137,0.0049
"7","PH_105",3.91588434096883,3.94405815553265,0.9057,0.0054
"8","PH_120",3.91441441441441,3.94256700540306,0.8752,0.0073
